1 3 3 3 4 5 7 8 9 25 26 29 30 31 31 31
10 11 18 19 20 25 26 27 28 30 31 
60.048  58.584  52.728  49.8  60.048  82.032  115.416  140.616  166.968  184.56  193.344  199.2  191.88  172.824  158.184  149.4  159.648  187.488  193.344  169.896  124.512  96.672  76.176  67.368  
60.048  58.584  52.728  49.8  60.048  82.032  115.416  140.616  166.968  184.56  193.344  199.2  191.88  172.824  158.184  149.4  159.648  187.488  193.344  169.896  124.512  96.672  76.176  67.368  
903.222  881.201  793.117  749.075  903.222  1233.9  1736.05  2115.1  2511.48  2776.09  2908.22  2996.3  2886.19  2599.56  2379.35  2247.22  2401.37  2820.13  2908.22  2555.52  1872.87  1454.11  1145.81  1013.33  
90.072  87.876  79.092  74.7  90.072  123.048  173.124  210.924  250.452  276.84  290.016  298.8  287.82  259.236  237.276  224.1  239.472  281.232  290.016  254.844  186.768  145.008  114.264  101.052  
30.024  29.292  26.364  24.9  30.024  41.016  57.708  70.308  83.484  92.28  96.672  99.6  95.94  86.412  79.092  74.7  79.824  93.744  96.672  84.948  62.256  48.336  38.088  33.684  
60.048  58.584  52.728  49.8  60.048  82.032  115.416  140.616  166.968  184.56  193.344  199.2  191.88  172.824  158.184  149.4  159.648  187.488  193.344  169.896  124.512  96.672  76.176  67.368  
663.03  646.865  582.205  549.875  663.03  905.77  1274.39  1552.64  1843.61  2037.85  2134.84  2199.5  2118.68  1908.27  1746.62  1649.63  1762.78  2070.18  2134.84  1875.94  1374.82  1067.42  841.11  743.855  
155.124  151.342  136.214  128.65  155.124  211.916  298.158  363.258  431.334  476.78  499.472  514.6  495.69  446.462  408.642  385.95  412.424  484.344  499.472  438.898  321.656  249.736  196.788  174.034  
60.048  58.584  52.728  49.8  60.048  82.032  115.416  140.616  166.968  184.56  193.344  199.2  191.88  172.824  158.184  149.4  159.648  187.488  193.344  169.896  124.512  96.672  76.176  67.368  
120.096  117.168  105.456  99.6  120.096  164.064  230.832  281.232  333.936  369.12  386.688  398.4  383.76  345.648  316.368  298.8  319.296  374.976  386.688  339.792  249.024  193.344  152.352  134.736  
300.24  292.92  263.64  249  300.24  410.16  577.08  703.08  834.84  922.8  966.72  996  959.4  864.12  790.92  747  798.24  937.44  966.72  849.48  622.56  483.36  380.88  336.84  
1000 1000 1000 2000 2000 1500 1500 1200 2400 1200 1200 1000 1000 1000 1000 2000 1000 1000 1780 1780 1200 800 1200 2500 500 200 1000 1000 1000 900 1250 1250 1000 500 1200 800 600 1000 700
3 4 5
