0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	180	180	180	0	0	0	0	40	0	0	100	120	120	120	120	0	0	0	0	0	0	0	0	180	180	180	180	0	0	0	0	0	0	0	0	170	170	180	180	0	0	0	0	0	0	0	0	0	0	30	30	30	30	160	160	0	160	160	160	160	150	150	150	150	160	160	160	160	160	160	100	90	90	90	90	100	100	100	50	50	0.01	0.01	0.01	0.01	0.01	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	120	120	120	150	150	54	54	0	0	81	81	30	30	81	81	81	81	0	0	90	90	66	66	66	60	60	66	180	180	0	0	0	0	150	185	81	81	165	165	132	132	81	81	165	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
610	610	610	610	610	610	610	610	670	670	670	670	670	670	610	610	1070	1070	640	660	660	660	300	300	300	300	330	330	300	300	65	300	300	330	220	200	220	220	300	300	300	300	200	200	300	300	600	600	600	600	660	660	330	330	360	360	600	600	300	300	320	320	99	100	100	29	88	88	88	88	320	320	300	300	300	300	300	300	300	300	300	300	300	353	353	353	353	330	330	353	353	353	353	353	235	235	235	235	353	353	353	320	320	310	300	125	125	125	340	340	145	145	340	340	380	340	210	210	340	340	180	180	100	100	100	100	180	180	340	340	340	340	340	340	380	380	340	340	340	340	330	330	310	340	310	340	650	650	125	125	200	200	200	200	330	330	135	135	150	150	135	135	50	50	135	135	330	330	125	125	150	150	110	110	100	100	100	110	300	300	300	300	350	350	300	300	135	135	330	330	330	330	135	135	330	330	360	360	360	380	200	200	150	150	420	420	150	150	310	310	350	350	330	330	350	350	350	350	1260	350	350	350	350	350	350	350	350	350	350	350	370	370	350	2000	8000	1500	6500
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
610	610	610	610	610	610	610	610	670	670	670	670	670	670	610	610	1070	1070	640	660	660	660	300	300	300	300	330	330	300	300	65	300	300	330	220	200	220	220	300	300	300	300	200	200	300	300	600	600	600	600	660	660	330	330	360	360	600	600	300	300	320	320	99	100	100	29	88	88	88	88	320	320	300	300	300	300	300	300	300	300	300	300	300	353	353	353	353	330	330	353	353	353	353	353	235	235	235	235	353	353	353	320	320	310	300	125	125	125	340	340	145	145	340	340	380	340	210	210	340	340	180	180	100	100	100	100	180	180	340	340	340	340	340	340	380	380	340	340	340	340	330	330	310	340	310	340	650	650	125	125	200	200	200	200	330	330	135	135	150	150	135	135	50	50	135	135	330	330	125	125	150	150	110	110	100	100	100	110	300	300	300	300	350	350	300	300	135	135	330	330	330	330	135	135	330	330	360	360	360	380	200	200	150	150	420	420	150	150	310	310	350	350	330	330	350	350	350	350	1260	350	350	350	350	350	350	350	350	350	350	350	370	370	350	2000	8000	1500	6500
610	610	610	610	610	610	610	610	670	670	670	670	670	670	610	610	1070	1070	640	660	660	660	300	300	300	300	330	330	300	300	65	300	300	330	220	200	220	220	300	300	300	300	200	200	300	300	600	600	600	600	660	660	330	330	360	360	600	600	300	300	320	320	99	100	100	29	88	88	88	88	320	320	300	300	300	300	300	300	300	300	300	300	300	353	353	353	353	330	330	353	353	353	353	353	235	235	235	235	353	353	353	320	320	310	300	125	125	125	340	340	145	145	340	340	380	340	210	210	340	340	180	180	100	100	100	100	180	180	340	340	340	340	340	340	380	380	340	340	340	340	330	330	310	340	310	340	650	650	125	125	200	200	200	200	330	330	135	135	150	150	135	135	50	50	135	135	330	330	125	125	150	150	110	110	100	100	100	110	300	300	300	300	350	350	300	300	135	135	330	330	330	330	135	135	330	330	360	360	360	380	200	200	150	150	420	420	150	150	310	310	350	350	330	330	350	350	350	350	1260	350	350	350	350	350	350	350	350	350	350	350	370	370	350	2000	8000	1500	6500
305 	305 	305 	305 	305 	305 	305 	305 	335 	335 	335 	335 	335 	335 	305 	305 	535 	535 	320 	330 	330 	330 	150 	150 	150 	150 	165 	165 	150 	150 	33 	150 	150 	165 	110 	100 	110 	110 	150 	150 	150 	150 	100 	100 	150 	150 	300 	300 	300 	300 	330 	330 	165 	165 	180 	180 	300 	300 	150 	150 	160 	160 	50 	50 	50 	15 	44 	44 	44 	44 	160 	160 	150 	150 	150 	150 	150 	150 	150 	150 	150 	150 	150 	177 	177 	177 	177 	165 	165 	177 	177 	177 	177 	177 	118 	118 	118 	118 	177 	177 	177 	160 	160 	155 	150 	63 	63 	63 	170 	170 	73 	73 	170 	170 	190 	170 	105 	105 	170 	170 	90 	90 	50 	50 	50 	50 	90 	90 	170 	170 	170 	170 	170 	170 	190 	190 	170 	170 	170 	170 	165 	165 	155 	170 	155 	170 	325 	325 	63 	63 	100 	100 	100 	100 	165 	165 	68 	68 	75 	75 	68 	68 	25 	25 	68 	68 	165 	165 	63 	63 	75 	75 	55 	55 	50 	50 	50 	55 	150 	150 	150 	150 	175 	175 	150 	150 	68 	68 	165 	165 	165 	165 	68 	68 	165 	165 	180 	180 	180 	190 	100 	100 	75 	75 	210 	210 	75 	75 	155 	155 	175 	175 	165 	165 	175 	175 	175 	175 	630 	175 	175 	175 	175 	175 	175 	175 	175 	175 	175 	175 	185 	185 	175 	1000 	4000 	750 	3250 
305 	305 	305 	305 	305 	305 	305 	305 	335 	335 	335 	335 	335 	335 	305 	305 	535 	535 	320 	330 	330 	330 	150 	150 	150 	150 	165 	165 	150 	150 	33 	150 	150 	165 	110 	100 	110 	110 	150 	150 	150 	150 	100 	100 	150 	150 	300 	300 	300 	300 	330 	330 	165 	165 	180 	180 	300 	300 	150 	150 	160 	160 	50 	50 	50 	15 	44 	44 	44 	44 	160 	160 	150 	150 	150 	150 	150 	150 	150 	150 	150 	150 	150 	177 	177 	177 	177 	165 	165 	177 	177 	177 	177 	177 	118 	118 	118 	118 	177 	177 	177 	160 	160 	155 	150 	63 	63 	63 	170 	170 	73 	73 	170 	170 	190 	170 	105 	105 	170 	170 	90 	90 	50 	50 	50 	50 	90 	90 	170 	170 	170 	170 	170 	170 	190 	190 	170 	170 	170 	170 	165 	165 	155 	170 	155 	170 	325 	325 	63 	63 	100 	100 	100 	100 	165 	165 	68 	68 	75 	75 	68 	68 	25 	25 	68 	68 	165 	165 	63 	63 	75 	75 	55 	55 	50 	50 	50 	55 	150 	150 	150 	150 	175 	175 	150 	150 	68 	68 	165 	165 	165 	165 	68 	68 	165 	165 	180 	180 	180 	190 	100 	100 	75 	75 	210 	210 	75 	75 	155 	155 	175 	175 	165 	165 	175 	175 	175 	175 	630 	175 	175 	175 	175 	175 	175 	175 	175 	175 	175 	175 	185 	185 	175 	1000 	4000 	750 	3250 
8 	8 	8 	8 	8 	8 	8 	8 	7 	7 	7 	7 	7 	7 	8 	8 	5 	5 	8 	8 	8 	8 	17 	17 	17 	17 	15 	15 	17 	17 	77 	17 	17 	15 	23 	25 	23 	23 	17 	17 	17 	17 	25 	25 	17 	17 	8 	8 	8 	8 	8 	8 	15 	15 	14 	14 	8 	8 	17 	17 	16 	16 	51 	50 	50 	172 	57 	57 	57 	57 	16 	16 	17 	17 	17 	17 	17 	17 	17 	17 	17 	17 	17 	14 	14 	14 	14 	15 	15 	14 	14 	14 	14 	14 	21 	21 	21 	21 	14 	14 	14 	16 	16 	16 	17 	40 	40 	40 	15 	15 	34 	34 	15 	15 	13 	15 	24 	24 	15 	15 	28 	28 	50 	50 	50 	50 	28 	28 	15 	15 	15 	15 	15 	15 	13 	13 	15 	15 	15 	15 	15 	15 	16 	15 	16 	15 	8 	8 	40 	40 	25 	25 	25 	25 	15 	15 	37 	37 	33 	33 	37 	37 	100 	100 	37 	37 	15 	15 	40 	40 	33 	33 	45 	45 	50 	50 	50 	45 	17 	17 	17 	17 	14 	14 	17 	17 	37 	37 	15 	15 	15 	15 	37 	37 	15 	15 	14 	14 	14 	13 	25 	25 	33 	33 	12 	12 	33 	33 	16 	16 	14 	14 	15 	15 	14 	14 	14 	14 	4 	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 	3 	1 	3 	1 
